constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
Aldershot,31350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432053138,387,347,438,300,337,266,264,449,
Aldridge-Brownhills,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536546803,313,294,277,250,205,381,394,271,
Altrincham and Sale West,10500.0,0.0,19432.239999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505380286,484,450,425,523,370,315,494,336,
Amber Valley,22446.97,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.438662533,243,226,176,92,174,447,443,378,
Arundel and South Downs,44500.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.5423973,452,500,498,435,466,493,74,168,
Ashfield,0.0,0.0,2720.13,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420580714,125,137,93,44,94,186,416,475,
Ashford,0.0,0.0,586.07,6330.67,0.0,0.0,0.0,0.0,0.0,0.0,0.455048448,297,270,293,209,356,215,129,466,
Ashton-under-Lyne,99929.5,0.0,0.0,0.0,836.0,5228.0,0.0,0.0,0.0,0.0,0.466723311,54,70,61,84,29,21,465,153,
Aylesbury,15000.0,0.0,2221.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457337572,418,409,421,242,438,350,212,504,
Banbury,15000.0,0.0,0.0,2583.19,0.0,0.0,0.0,0.0,0.0,0.0,0.506849046,358,378,395,228,351,385,229,243,
Barking,5001.0,0.0,0.0,7692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437003049,60,57,149,182,201,75,3,108,
Barnsley North,44000.0,0.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,0.513110048,97,107,63,31,51,81,527,511,
Barnsley South,2000.0,0.0,0.0,0.0,0.0,3411.3599999999997,0.0,0.0,0.0,0.0,0.497191627,41,60,21,15,16,46,530,505,
Barrow and Furness,63000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543526683,140,192,104,203,37,476,524,59,
Basildon and Billericay,15000.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.465833511,192,162,194,93,283,128,153,490,
Basingstoke,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426395339,376,391,392,243,343,247,257,497,
Bassetlaw,25464.0,0.0,184.63,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.549058559,198,216,148,124,132,235,352,444,
Bath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391598559,453,408,433,430,435,339,457,364,
Battersea,21436.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435972782,322,311,435,517,361,202,114,52,
Beaconsfield,26500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482518062,513,508,521,470,523,363,221,470,
Beckenham and Penge,44000.0,0.0,0.0,0.0,0.0,2945.0,0.0,0.0,0.0,0.0,0.463947737,400,368,401,500,491,270,78,224,
Bedford,4250.0,0.0,0.0,0.0,707.0,400.0,0.0,0.0,0.0,0.0,0.465853082,199,181,175,188,208,206,190,254,
Bermondsey and Old Southwark,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41181411,177,172,310,448,209,140,32,50,
Bethnal Green and Stepney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183231039,90,45,181,342,165,49,50,42,
Beverley and Holderness,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527529496,367,351,298,350,380,440,255,361,
Bexhill and Battle,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509376157,289,286,222,311,288,422,133,218,
Bexleyheath and Crayford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499234769,323,301,305,258,396,299,140,266,
Bicester and Woodstock,64500.0,0.0,1887.91,1113.0,0.0,1283.11,0.0,0.0,0.0,0.0,0.507745386,479,516,514,358,437,480,146,343,
Birkenhead,5000.0,0.0,0.0,0.0,0.0,1048.0,0.0,0.0,0.0,0.0,0.528982966,20,18,4,107,5,146,529,106,
Birmingham Edgbaston,10000.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.387408508,80,104,125,261,135,143,34,41,
Birmingham Erdington,0.0,0.0,913.6,300.0,0.0,600.0,0.0,0.0,0.0,0.0,0.458236459,11,19,11,41,28,100,52,4,
