financial_id,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,parliamentary_id,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerPublicAddress,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7,PaymentReceived,ReceivedDate,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,RegularityOfPayment,PeriodForHoursWorked,DonationSource,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Appg,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,VisitLocations_Country_3,VisitLocations_Destination_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,ShareholdingThreshold,RegistrableDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,AroseOn,Description,MiscellaneousInterestType,WorkingPattern,PersonName,FamilyMemberRelationshipLevel,FamilyRelationType,Employer
11544,Payment received on 11 December 2024 - £520.00,9233,04/01/2025,06/01/2025,,Category 1,5091,Nigel Farage,,,,,,,,,,,,,,,TRUE,11/12/2024,Monetary,,520,4,This is an estimated minimum,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11545,Payment received on 11 December 2024 - £140.31,9226,04/01/2025,06/01/2025,,Category 1,5091,Nigel Farage,,,,,,,,,,,,,,,TRUE,11/12/2024,Monetary,,140.31,14,This number is an estimate,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11596,"Payment received on 29 October 2024 - £27,111.05",4707,06/01/2025,06/01/2025,,Category 1,249,Sir Geoffrey Clifton-Brown,,,,,,,,,,,,,,,TRUE,29/10/2024,In kind,in respect of hours worked as a Partner,27111.05,255,maximum,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11599,Payment received on 27 September 2024 - £61.20,8065,20/12/2024,06/01/2025,,Category 1,5083,Bobby Dean,,,,,,,,,,,,,,,TRUE,27/09/2024,Monetary,Tax refund,61.2,0,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598,Payment received on 29 August 2024 - £61.20,8065,20/12/2024,06/01/2025,,Category 1,5083,Bobby Dean,,,,,,,,,,,,,,,TRUE,29/08/2024,Monetary,Tax refund,61.2,0,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11600,Payment received on 30 October 2024 - £61.20,8065,20/12/2024,06/01/2025,,Category 1,5083,Bobby Dean,,,,,,,,,,,,,,,TRUE,30/10/2024,Monetary,Tax refund,61.2,0,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11601,Payment received on 28 November 2024 - £194.65,8065,20/12/2024,06/01/2025,,Category 1,5083,Bobby Dean,,,,,,,,,,,,,,,TRUE,28/11/2024,Monetary,Tax refund and back pay for pay awards,194.65,0,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11585,"Payment received on 15 July 2024 - £1,109.36",7643,05/01/2025,05/01/2025,,Category 1,5344,Ben Coleman,,,,,,,,,,,,,,,TRUE,15/07/2024,Monetary,"Payment of £1,109.36 is the standard allowance for councillors. This was repaid in full on 11 October 2024.",1109.36,20,Approximate,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11576,"Payment received on 16 December 2024 - £47,000.00",6922,01/01/2025,01/01/2025,,Category 1,1508,Sir Geoffrey Cox,,,,,,,,,,,,,,,TRUE,16/12/2024,Monetary,,47000,40,Work undertaken between 1 October 2024 and 12 December 2024,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11574,"Payment received on 27 December 2024 - £3,649.04",3869,31/12/2024,31/12/2024,,Category 1,4475,Suella Braverman,,,,,,,,,,,,,,,TRUE,27/12/2024,Monetary,This is the outstanding payment for a speaking engagement in Zurich on 10 December 2024,3649.04,48,,TRUE,Global Liberty Institute,FALSE,"Gotthardstrasse 20,6300 Zug, Switzerland",Think Tank,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11387,"Payment expected for services on 23 September 2024 - £1,375.17",6538,27/12/2024,27/12/2024,,Category 1,5111,Martin Wrigley,,,,,,,,,,,,,,,FALSE,23/09/2024,Monetary,Back pay for allowances from financial year 2023/24,1375.17,0,no additional hours,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388,"Payment received on 23 October 2024 - £3,071.04",6538,27/11/2024,27/12/2024,,Category 1,5111,Martin Wrigley,,,,,,,,,,,,,,,TRUE,23/10/2024,Monetary,Back pay for allowances from financial year 2023/24,3071.04,0,no additional hours,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11557,Payment received on 24 December 2024 - £450.00,6031,24/12/2024,27/12/2024,,Category 1,5197,Dr Neil Shastri-Hurst,,,,,,,,,,,,,,,TRUE,24/12/2024,Monetary,(Includes 15% to be deducted for Chambers fee),450,4,Number of hours approximate,TRUE,Clyde & Co LLP Incorporating BLM (Manchester),FALSE,"2 New Bailey Square, Stanley Street, Salford, Lancashire, M3 5GS",Solicitor,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11559,Payment received on 27 November 2024 - £165.29,9486,24/12/2024,24/12/2024,,Category 1,5146,Michael Payne,,,,,,,,,,,,,,,TRUE,27/11/2024,Monetary,This was a one-off final payment of a pay award back-dated to April 2024.,165.29,25,Approximate number of hours as this related to a one-off payment for pay award back-dated to April 2024,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11560,Payment received on 20 December 2024 - £527.81,10356,24/12/2024,24/12/2024,,Category 1,5275,Graeme Downie,,,,,,,,,,,,,,,TRUE,20/12/2024,Monetary,"The Board received a Scottish Government Circular on 28 November advising of Remuneration increases for 2024/25 for Chairs and Non Executive Board Members.  

The payment received is back pay for the period while I was still a non executive board member.",527.81,0,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11541,"Payment received on 05 December 2024 - £15,451.52",9240,20/12/2024,23/12/2024,,Category 1,5091,Nigel Farage,,,,,,,,,,,,,,,TRUE,05/12/2024,Monetary,,15451.52,24,This number is estimated,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11550,Payment received on 29 November 2024 - £450.00,4138,23/12/2024,23/12/2024,,Category 1,1442,Mr Alistair Carmichael,,,,,,,,,,,,,,,TRUE,29/11/2024,Monetary,,450,3,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11543,"Payment received on 05 December 2024 - £189,300.00",11542,20/12/2024,20/12/2024,,Category 1,5091,Nigel Farage,,,,,,,,,,,,,,,TRUE,05/12/2024,Monetary,,189300,4,This is an estimated maximum hours worked per month since my election. It also includes payment for work undertaken prior to my election.,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11513,Payment received on 28 November 2024 - £305.37,11512,16/12/2024,17/12/2024,,Category 1,5067,Tony Vaughan,,,,,,,,,,,,,,,TRUE,28/11/2024,Monetary,In respect of work done before October 2020,305.37,4,Hours worked is an estimate,TRUE,Confidential,FALSE,Confidential,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
